iter	Passed	Remaining
844	1040	190
845	1041	189
846	1043	188
847	1044	187
848	1044	185
849	1045	184
850	1046	183
851	1047	181
852	1048	180
853	1049	179
854	1050	178
855	1050	176
856	1051	175
857	1052	174
858	1054	173
859	1055	171
860	1055	170
861	1056	169
862	1057	167
863	1059	166
864	1060	165
865	1061	164
866	1061	162
867	1062	161
868	1063	160
869	1064	159
870	1065	157
871	1066	156
872	1067	155
873	1068	154
874	1069	152
875	1070	151
876	1070	150
877	1071	148
878	1073	147
879	1074	146
880	1075	145
881	1075	143
882	1076	142
883	1077	141
884	1078	140
885	1079	138
886	1079	137
887	1080	136
888	1081	135
889	1082	133
890	1082	132
891	1083	131
892	1084	129
893	1085	128
894	1086	127
895	1087	126
896	1088	124
897	1089	123
898	1090	122
899	1091	121
900	1091	119
901	1092	118
902	1093	117
903	1093	116
904	1094	114
905	1095	113
906	1096	112
907	1097	111
908	1098	109
909	1099	108
910	1099	107
911	1100	106
912	1101	104
913	1102	103
914	1103	102
915	1104	101
916	1105	100
917	1106	98
918	1107	97
919	1107	96
920	1108	95
921	1109	93
922	1110	92
923	1110	91
924	1111	90
925	1112	88
926	1113	87
927	1114	86
928	1115	85
929	1116	84
930	1117	82
931	1119	81
932	1120	80
933	1121	79
934	1121	77
935	1122	76
936	1123	75
937	1124	74
938	1125	73
939	1126	71
940	1127	70
941	1128	69
942	1129	68
943	1129	67
944	1130	65
945	1132	64
946	1134	63
947	1135	62
948	1136	61
949	1138	59
950	1139	58
951	1140	57
952	1141	56
953	1142	55
954	1143	53
955	1144	52
956	1145	51
957	1146	50
958	1148	49
959	1150	47
960	1151	46
961	1152	45
962	1153	44
963	1154	43
964	1155	41
965	1156	40
966	1157	39
967	1158	38
968	1159	37
969	1160	35
970	1161	34
971	1162	33
972	1164	32
973	1165	31
974	1166	29
975	1168	28
976	1168	27
977	1169	26
978	1170	25
979	1171	23
980	1172	22
981	1173	21
982	1174	20
983	1175	19
984	1177	17
985	1179	16
986	1180	15
987	1181	14
988	1182	13
989	1183	11
990	1184	10
991	1185	9
992	1186	8
993	1187	7
994	1188	5
995	1188	4
996	1189	3
997	1190	2
998	1192	1
999	1194	0
